;;;;;;;;;;;;;;;;;;;;;;;;;;Categorias;;;;;;;;;;;
Controle de Estoque Prima Facie;;;;;;;;;;;;;;;;;;;;;;;;;;Anéis;;;;;;;;;;;
Dados do Produto;;;;;;;;;;Simulação (Projeção);;;;;;;;;;;;;;;;Brincos;;;;;;;;;;;
SKU;Categoria;Material 1;Quantidade 1; Custo M1 ; Venda M1 ;Material 2;Quantidade 2; Custo M2 ; Venda M2 ; Mão de Obra ; Custo Total ;Margem; Preço Venda ; Preço c/ desconto ;;;;;;;;;;;;Pingente;;;;;;;;;;;
52;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Crisocola;20; R$ 56,00 ; R$ 168,00 ; R$ 90,00 ; R$ 202,00 ;; R$ 426,00 ; R$ 426,00 ;;;;;;;;;;;;;;;;;;;;;;;
53;Anéis;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Crisocola;30; R$ 84,00 ; R$ 252,00 ; R$ 90,00 ; R$ 222,00 ;; R$ 486,00 ; R$ 486,00 ;;;;;;;;;;;;;;;;;;;;;;;
54;Anéis;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Esmeralda E;6; R$ 336,00 ; R$ 504,00 ; R$ 90,00 ; R$ 466,00 ;; R$ 714,00 ; R$ 714,00 ;;;;;;;;;;;;;;;;;;;;;;;
55;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Esmeralda E;4; R$ 224,00 ; R$ 336,00 ; R$ 90,00 ; R$ 346,00 ;-14,00%; R$ 522,00 ; R$ 595,08 ;;;;;;;;;;;;;;;;;;;;;;;
56;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Citrino C;15; R$ 42,00 ; R$ 252,00 ; R$ 90,00 ; R$ 188,00 ;-8,00%; R$ 510,00 ; R$ 550,80 ;;;;;;;;;;;;;;;;;;;;;;;
57;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Citrino C;15; R$ 42,00 ; R$ 252,00 ; R$ 90,00 ; R$ 188,00 ;-8,00%; R$ 510,00 ; R$ 550,80 ;;;;;;;;;;;;;;;;;;;;;;;
58;Anéis;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Crisocola;20; R$ 56,00 ; R$ 168,00 ; R$ 90,00 ; R$ 186,00 ;-20,00%; R$ 378,00 ; R$ 453,60 ;;;;;;;;;;;;;;;;;;;;;;;
59;Anéis;Prata Artesanal;3,5; R$ 28,00 ; R$ 84,00 ;Esmeralda E;7; R$ 392,00 ; R$ 588,00 ; R$ 90,00 ; R$ 510,00 ;; R$ 762,00 ; R$ 762,00 ;;;;;;;;;;;;;;;;;;;;;;;
60;Anéis;Prata Artesanal;10; R$ 80,00 ; R$ 240,00 ;Esmeralda E;25; R$ 1.400,00 ; R$ 2.100,00 ; R$ 90,00 ; R$ 1.570,00 ;60,00%; R$ 2.430,00 ; R$ 972,00 ;;;;;;;;;;;;;;;;;;;;;;;
61;Anéis;Prata Artesanal;10; R$ 80,00 ; R$ 240,00 ;Quartzo Verde;30; R$ 33,60 ; R$ 268,80 ; R$ 90,00 ; R$ 203,60 ;; R$ 598,80 ; R$ 598,80 ;;Vendido 21/06;;;;;;;;;;;;;;;;;;;;;
62;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Opalina;10; R$ 28,00 ; R$ 168,00 ; R$ 90,00 ; R$ 174,00 ;-10,00%; R$ 426,00 ; R$ 468,60 ;;;;;;;;;;;;;;;;;;;;;;;
63;Anéis;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Quartzo Rosa;10; R$ 56,00 ; R$ 168,00 ; R$ 90,00 ; R$ 194,00 ;-5,00%; R$ 402,00 ; R$ 422,10 ;;;;;;;;;;;;;;;;;;;;;;;
64;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Quartzo Rosa;7; R$ 39,20 ; R$ 117,60 ; R$ 90,00 ; R$ 161,20 ;-10,00%; R$ 303,60 ; R$ 333,96 ;;;;;;;;;;;;;;;;;;;;;;;
65;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Quartzo Rosa;20; R$ 112,00 ; R$ 336,00 ; R$ 90,00 ; R$ 234,00 ;20,00%; R$ 522,00 ; R$ 417,60 ;;;;;;;;;;;;;;;;;;;;;;;
66;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Opalina;8; R$ 22,40 ; R$ 134,40 ; R$ 90,00 ; R$ 168,40 ;-15,00%; R$ 392,40 ; R$ 451,26 ;;;;;;;;;;;;;;;;;;;;;;;
67;Anéis;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Quartzo Rosa;25; R$ 140,00 ; R$ 420,00 ; R$ 90,00 ; R$ 278,00 ;25,00%; R$ 654,00 ; R$ 490,50 ;;;;;;;;;;;;;;;;;;;;;;;
68;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Quartzo Rosa;10; R$ 56,00 ; R$ 168,00 ; R$ 90,00 ; R$ 202,00 ;-5,00%; R$ 426,00 ; R$ 447,30 ;;;;;;;;;;;;;;;;;;;;;;;
69;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Quartzo Rosa;15; R$ 84,00 ; R$ 252,00 ; R$ 90,00 ; R$ 206,00 ;; R$ 438,00 ; R$ 438,00 ;;;;;;;;;;;;;;;;;;;;;;;
70;Anéis;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Quartzo Rosa;50; R$ 280,00 ; R$ 840,00 ; R$ 90,00 ; R$ 410,00 ;40,00%; R$ 1.050,00 ; R$ 630,00 ;;;;;;;;;;;;;;;;;;;;;;;
71;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Pedra da Lua;10; R$ 16,80 ; R$ 67,20 ; R$ 90,00 ; R$ 162,80 ;-35,00%; R$ 325,20 ; R$ 439,02 ;;;;;;;;;;;;;;;;;;;;;;;
72;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Quartzo Rosa;20; R$ 112,00 ; R$ 336,00 ; R$ 90,00 ; R$ 234,00 ;3,00%; R$ 522,00 ; R$ 506,34 ;;;;;;;;;;;;;;;;;;;;;;;
73;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Labradorita;20; R$ 56,00 ; R$ 201,60 ; R$ 90,00 ; R$ 210,00 ;-30,00%; R$ 483,60 ; R$ 628,68 ;;;;;;;;;;;;;;;;;;;;;;;
74;Anéis;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Cristal;15; R$ 84,00 ; R$ 252,00 ; R$ 90,00 ; R$ 222,00 ;; R$ 486,00 ; R$ 486,00 ;;;;;;;;;;;;;;;;;;;;;;;
75;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Olho de Tigre;20; R$ 33,60 ; R$ 168,00 ; R$ 90,00 ; R$ 155,60 ;; R$ 354,00 ; R$ 354,00 ;;;;;;;;;;;;;;;;;;;;;;;
76;Anéis;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Olho de Tigre;30; R$ 50,40 ; R$ 252,00 ; R$ 90,00 ; R$ 180,40 ;; R$ 462,00 ; R$ 462,00 ;;;;;;;;;;;;;;;;;;;;;;;
77;Anéis;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Olho de Tigre;25; R$ 42,00 ; R$ 210,00 ; R$ 90,00 ; R$ 172,00 ;-6,00%; R$ 420,00 ; R$ 445,20 ;;;;;;;;;;;;;;;;;;;;;;;
78;Anéis;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Olho de Tigre;30; R$ 50,40 ; R$ 252,00 ; R$ 90,00 ; R$ 180,40 ;; R$ 462,00 ; R$ 462,00 ;;;;;;;;;;;;;;;;;;;;;;;
79;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Pedra da Lua;25; R$ 42,00 ; R$ 168,00 ; R$ 90,00 ; R$ 188,00 ;-8,00%; R$ 426,00 ; R$ 460,08 ;;;;;;;;;;;;;;;;;;;;;;;
80;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Variadas A;6; R$ 67,20 ; R$ 201,60 ; R$ 90,00 ; R$ 221,20 ;-49,00%; R$ 483,60 ; R$ 720,56 ;;;;;;;;;;;;;;;;;;;;;;;
81;Anéis;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Pedra da Lua;6; R$ 10,08 ; R$ 40,32 ; R$ 90,00 ; R$ 140,08 ;-65,00%; R$ 250,32 ; R$ 413,03 ;;;;;;;;;;;;;;;;;;;;;;;
82;Anéis;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Opalina;2; R$ 5,60 ; R$ 33,60 ; R$ 90,00 ; R$ 143,60 ;-6,00%; R$ 267,60 ; R$ 283,66 ;;;;;;;;;;;;;;;;;;;;;;;
83;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Quartzo Druza;25; R$ 10,00 ; R$ 30,00 ; R$ 90,00 ; R$ 156,00 ;-49,00%; R$ 288,00 ; R$ 429,12 ;;;;;;;;;;;;;;;;;;;;;;;
84;Anéis;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Labradorita;10; R$ 28,00 ; R$ 100,80 ; R$ 90,00 ; R$ 158,00 ;-58,00%; R$ 310,80 ; R$ 491,06 ;;;;;;;;;;;;;;;;;;;;;;;
85;Anéis;Prata Artesanal;4,5; R$ 36,00 ; R$ 108,00 ;Pedra da Lua;25; R$ 42,00 ; R$ 168,00 ; R$ 90,00 ; R$ 168,00 ;-12,00%; R$ 366,00 ; R$ 409,92 ;;;;;;;;;;;;;;;;;;;;;;;
86;Anéis;Prata Artesanal;4,8; R$ 38,40 ; R$ 115,20 ;Ametista B;7; R$ 39,20 ; R$ 133,28 ; R$ 90,00 ; R$ 167,60 ;-30,00%; R$ 338,48 ; R$ 440,02 ;;;;;;;;;;;;;;;;;;;;;;;
87;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Granada B;4; R$ 67,20 ; R$ 134,40 ; R$ 250,00 ; R$ 381,20 ;-28,00%; R$ 576,40 ; R$ 737,79 ;;;;;;;;;;;;;;;;;;;;;;;
88;Anéis;Prata Artesanal;9,5; R$ 76,00 ; R$ 228,00 ;Variadas B;10; R$ 280,00 ; R$ 840,00 ; R$ 90,00 ; R$ 446,00 ;16,00%; R$ 1.158,00 ; R$ 972,72 ;;;;;;;;;;;;;;;;;;;;;;;
89;Anéis;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Turquesa;25; R$ 280,00 ; R$ 560,00 ; R$ 90,00 ; R$ 418,00 ;46,00%; R$ 794,00 ; R$ 428,76 ;;;;;;;;;;;;;;;;;;;;;;;
90;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Variadas A;12; R$ 134,40 ; R$ 403,20 ; R$ 90,00 ; R$ 288,40 ;-25,00%; R$ 685,20 ; R$ 856,50 ;;;;;;;;;;;;;;;;;;;;;;;
91;Anéis;Prata Artesanal;13; R$ 104,00 ; R$ 312,00 ;turmalina verde C;9; R$ 403,20 ; R$ 1.209,60 ; R$ 90,00 ; R$ 597,20 ;39,50%; R$ 1.611,60 ; R$ 975,02 ;;;;;;;;;;;;;;;;;;;;;;;
92;Anéis;Prata Artesanal;6,5; R$ 52,00 ; R$ 156,00 ;Granada B;12; R$ 201,60 ; R$ 403,20 ; R$ 90,00 ; R$ 343,60 ;; R$ 649,20 ; R$ 649,20 ;;;;;;;;;;;;;;;;;;;;;;;
