;;;;;;;;;;;;;;;;;;;;;;;;;;Categorias;;;;;;;;;;;
Controle de Estoque Prima Facie;;;;;;;;;;;;;;;;;;;;;;;;;;Anéis;;;;;;;;;;;
Dados do Produto;;;;;;;;;;Simulação (Projeção);;;;;;;;;;;;;;;;Brincos;;;;;;;;;;;
SKU;Categoria;Material 1;Quantidade 1; Custo M1 ; Venda M1 ;Material 2;Quantidade 2; Custo M2 ; Venda M2 ; Mão de Obra ; Custo Total ;Margem; Preço Venda ; Preço c/ desconto ;;;;;;;;;;;;Pingente;;;;;;;;;;;
1016;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1017;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1018;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1019;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1020;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1021;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1022;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1023;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1024;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1025;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1026;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1027;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1028;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1029;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1030;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1031;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1032;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1033;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1034;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1035;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1036;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1037;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1038;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1039;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1040;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1041;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1042;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1043;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1044;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1045;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1046;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1047;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1048;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1049;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1050;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1051;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1052;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1053;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1054;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1055;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1056;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1057;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1058;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1059;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1060;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1061;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1062;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1063;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1064;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1065;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1066;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1067;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1068;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1069;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1070;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1071;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1072;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1073;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1074;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1075;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1076;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1077;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1078;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1079;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1080;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1081;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1082;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1083;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1084;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1085;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1086;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1087;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1088;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1089;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1090;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1091;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1092;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1093;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1094;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1095;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1096;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1097;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1098;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1099;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1100;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1101;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1102;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1103;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1104;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1105;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1106;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1107;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1108;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1109;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1110;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1111;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1112;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1113;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1114;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1115;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1116;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1117;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1118;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1119;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1120;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1121;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1122;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1123;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1124;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1125;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1126;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1127;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1128;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1129;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1130;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1131;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1132;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1133;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1134;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1135;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1136;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1137;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1138;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1139;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1140;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1141;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1142;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1143;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1144;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1145;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1146;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1147;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1148;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1149;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1150;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1151;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1152;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1153;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1154;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1155;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1156;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1157;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1158;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1159;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1160;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1161;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1162;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1163;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1164;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1165;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1166;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1167;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1168;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1169;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1170;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1171;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1172;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1173;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1174;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1175;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1176;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1177;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1178;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1179;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1180;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1181;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1182;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1183;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1184;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1185;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1186;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1187;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1188;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1189;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1190;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1191;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1192;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1193;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1194;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1195;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1196;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1197;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1198;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1199;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1200;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1201;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1202;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1203;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1204;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1205;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1206;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1207;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1208;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1209;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1210;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1211;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1212;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1213;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1214;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1215;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1216;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
